product_id,product_name,category,subcategory,selling_price,cost_price
PROD0001,Smartphone 1,Electronics,Mobile,52225.14,36376.42
PROD0002,Smartphone 2,Electronics,Mobile,68862.28,40446.46
PROD0003,Smartphone 3,Electronics,Mobile,47619.54,27655.4
PROD0004,Smartphone 4,Electronics,Mobile,22662.46,18722.31
PROD0005,Smartphone 5,Electronics,Mobile,16390.98,10923.14
PROD0006,Smartphone 6,Electronics,Mobile,5095.3,3637.0
PROD0007,Smartphone 7,Electronics,Mobile,18976.08,10464.49
PROD0008,Feature Phone 1,Electronics,Mobile,7145.12,3919.06
PROD0009,Feature Phone 2,Electronics,Mobile,49609.81,39122.01
PROD0010,Feature Phone 3,Electronics,Mobile,82559.16,43202.31
PROD0011,Feature Phone 4,Electronics,Mobile,35919.73,22648.11
PROD0012,Feature Phone 5,Electronics,Mobile,16044.28,10262.67
PROD0013,Feature Phone 6,Electronics,Mobile,8195.94,6325.14
PROD0014,Feature Phone 7,Electronics,Mobile,26219.52,22238.55
PROD0015,Gaming Laptop 1,Electronics,Laptop,60249.42,44559.16
PROD0016,Gaming Laptop 2,Electronics,Laptop,53527.31,36684.91
PROD0017,Gaming Laptop 3,Electronics,Laptop,25641.19,21120.25
PROD0018,Gaming Laptop 4,Electronics,Laptop,7578.36,4496.78
PROD0019,Gaming Laptop 5,Electronics,Laptop,7451.63,5075.62
PROD0020,Gaming Laptop 6,Electronics,Laptop,31587.9,17706.22
PROD0021,Gaming Laptop 7,Electronics,Laptop,16324.33,11703.31
PROD0022,Business Laptop 1,Electronics,Laptop,42111.8,32964.74
PROD0023,Business Laptop 2,Electronics,Laptop,6466.66,3720.05
PROD0024,Business Laptop 3,Electronics,Laptop,33362.45,19868.21
PROD0025,Business Laptop 4,Electronics,Laptop,9468.53,5692.15
PROD0026,Business Laptop 5,Electronics,Laptop,82415.46,61336.86
PROD0027,Business Laptop 6,Electronics,Laptop,6820.74,5102.41
PROD0028,Business Laptop 7,Electronics,Laptop,36268.94,26442.68
PROD0029,Headphones 1,Electronics,Audio,54227.46,37241.93
PROD0030,Headphones 2,Electronics,Audio,56674.37,36762.85
PROD0031,Headphones 3,Electronics,Audio,3794.59,2491.28
PROD0032,Headphones 4,Electronics,Audio,19649.28,15805.19
PROD0033,Headphones 5,Electronics,Audio,56672.09,39916.47
PROD0034,Headphones 6,Electronics,Audio,76700.55,48251.13
PROD0035,Headphones 7,Electronics,Audio,36522.85,26475.37
PROD0036,Earbuds 1,Electronics,Audio,45067.62,37749.15
PROD0037,Earbuds 2,Electronics,Audio,11897.63,6657.89
PROD0038,Earbuds 3,Electronics,Audio,75882.63,60211.03
PROD0039,Earbuds 4,Electronics,Audio,33704.38,17872.6
PROD0040,Earbuds 5,Electronics,Audio,68132.48,54270.39
PROD0041,Earbuds 6,Electronics,Audio,64410.27,42262.24
PROD0042,Earbuds 7,Electronics,Audio,71102.02,53239.89
PROD0043,Bluetooth Speaker 1,electronics,Audio,41267.81,24108.35
PROD0044,Bluetooth Speaker 2,Electronics,Audio,31156.97,21330.8
PROD0045,Bluetooth Speaker 3,Electronics,Audio,49945.48,34950.45
PROD0046,Bluetooth Speaker 4,Electronics,Audio,14229.19,9343.47
PROD0047,Bluetooth Speaker 5,Electronics,Audio,60851.23,47749.27
PROD0048,Bluetooth Speaker 6,Electronics,Audio,70458.95,45232.01
PROD0049,Bluetooth Speaker 7,Electronics,Audio,17243.01,12496.05
PROD0050,Keyboard 1,Electronics,Accessories,28290.66,19313.98
PROD0051,Keyboard 2,Electronics,Accessories,75265.99,50749.21
PROD0052,Keyboard 3,Electronics,Accessories,49959.01,26286.8
PROD0053,Keyboard 4,Electronics,Accessories,55791.32,42534.45
PROD0054,Keyboard 5,Electronics,Accessories,21682.52,14765.84
PROD0055,Keyboard 6,Electronics,Accessories,78982.6,46564.83
PROD0056,Keyboard 7,Electronics,Accessories,61589.72,39153.72
PROD0057,Mouse 1,Electronics,Accessories,71506.47,37509.92
PROD0058,Mouse 2,Electronics,Accessories,26067.91,17668.38
PROD0059,Mouse 3,Electronics,Accessories,52029.82,44117.66
PROD0060,Mouse 4,Electronics,Accessories,25989.89,17765.67
PROD0061,Mouse 5,Electronics,Accessories,67254.83,59477.84
PROD0062,Mouse 6,Electronics,Accessories,37969.64,27881.56
PROD0063,Mouse 7,Electronics,Accessories,40548.6,30211.45
PROD0064,Power Bank 1,Electronics,Accessories,43613.67,27855.7
PROD0065,Power Bank 2,Electronics,Accessories,61131.49,36473.39
PROD0066,Power Bank 3,Electronics,Accessories,79927.76,63558.21
PROD0067,Power Bank 4,Electronics,Accessories,3490.2,2550.1
PROD0068,Power Bank 5,Electronics,Accessories,77806.6,48445.1
PROD0069,Power Bank 6,Electronics,Accessories,3841.82,2276.65
PROD0070,Power Bank 7,Electronics,Accessories,39048.57,22574.71
PROD0071,Mixer Grinder 1,Home & Kitchen,Kitchen,12035.99,8061.69
PROD0072,Mixer Grinder 2,Home & Kitchen,Kitchen,3001.9,2584.97
PROD0073,Mixer Grinder 3,home & kitchen,Kitchen,31274.89,19548.57
PROD0074,Mixer Grinder 4,Home & Kitchen,Kitchen,19123.71,12461.68
PROD0075,Mixer Grinder 5,Home & Kitchen,Kitchen,17272.51,12228.99
PROD0076,Mixer Grinder 6,Home & Kitchen,Kitchen,27668.88,14728.94
PROD0077,Mixer Grinder 7,Home & Kitchen,Kitchen,9902.59,5918.76
PROD0078,Air Fryer 1,Home & Kitchen,Kitchen,18544.86,14961.89
PROD0079,Air Fryer 2,Home & Kitchen,Kitchen,13466.56,9091.2
PROD0080,Air Fryer 3,Home & Kitchen,Kitchen,21225.45,12129.48
PROD0081,Air Fryer 4,Home & Kitchen,Kitchen,1472.93,816.0
PROD0082,Air Fryer 5,Home & Kitchen,Kitchen,11454.4,8834.41
PROD0083,Air Fryer 6,Home & Kitchen,Kitchen,13018.54,10910.12
PROD0084,Air Fryer 7,Home & Kitchen,Kitchen,7010.28,4617.51
PROD0085,Electric Kettle 1,Home & Kitchen,Kitchen,22516.09,16699.77
PROD0086,Electric Kettle 2,Home & Kitchen,Kitchen,5977.75,3776.7
PROD0087,Electric Kettle 3,Home & Kitchen,Kitchen,8055.62,6137.51
PROD0088,Electric Kettle 4,Home & Kitchen,Kitchen,12811.25,8044.15
PROD0089,Electric Kettle 5,Home & Kitchen,Kitchen,23715.35,13230.04
PROD0090,Electric Kettle 6,Home & Kitchen,Kitchen,26744.26,15971.92
PROD0091,Electric Kettle 7,Home & Kitchen,Kitchen,5729.53,3359.73
PROD0092,Office Chair 1,Home & Kitchen,Furniture,13876.51,7902.64
PROD0093,Office Chair 2,Home & Kitchen,Furniture,1613.38,1226.09
PROD0094,Office Chair 3,Home & Kitchen,Furniture,27005.23,20224.72
PROD0095,Office Chair 4,Home & Kitchen,Furniture,22651.42,18892.14
PROD0096,Office Chair 5,Home & Kitchen,Furniture,23587.96,18031.47
PROD0097,Office Chair 6,Home & Kitchen,Furniture,26490.12,16207.4
PROD0098,Office Chair 7,Home & Kitchen,Furniture,12505.76,9414.8
PROD0099,Study Table 1,Home & Kitchen,Furniture,8438.76,4992.36
PROD0100,Study Table 2,Home & Kitchen,Furniture,14399.31,9913.29
PROD0101,Study Table 3,Home & Kitchen,Furniture,22583.58,17939.52
PROD0102,Study Table 4,Home & Kitchen,Furniture,7899.12,5480.1
PROD0103,Study Table 5,Home & Kitchen,Furniture,7546.81,5735.18
PROD0104,Study Table 6,Home & Kitchen,Furniture,22537.87,18694.38
PROD0105,Study Table 7,Home & Kitchen,Furniture,16017.76,10978.5
PROD0106,Bookshelf 1,Home & Kitchen,Furniture,7940.85,5354.95
PROD0107,Bookshelf 2,Home & Kitchen,Furniture,17282.94,11436.68
PROD0108,Bookshelf 3,Home & Kitchen,Furniture,16627.41,10743.52
PROD0109,Bookshelf 4,home & kitchen,Furniture,20211.49,13224.83
PROD0110,Bookshelf 5,Home & Kitchen,Furniture,26967.99,20634.34
PROD0111,Bookshelf 6,home & kitchen,Furniture,11681.18,6639.73
PROD0112,Bookshelf 7,Home & Kitchen,Furniture,21992.67,15418.66
PROD0113,Fan 1,Home & Kitchen,Appliances,13196.62,6945.23
PROD0114,Fan 2,Home & Kitchen,Appliances,11304.02,8892.05
PROD0115,Fan 3,Home & Kitchen,Appliances,20129.29,12245.01
PROD0116,Fan 4,Home & Kitchen,Appliances,5909.03,4782.28
PROD0117,Fan 5,Home & Kitchen,Appliances,7893.18,4601.73
PROD0118,Fan 6,Home & Kitchen,Appliances,24547.08,15619.32
PROD0119,Fan 7,Home & Kitchen,Appliances,16378.97,9545.36
PROD0120,Iron 1,Home & Kitchen,Appliances,28393.56,23963.81
PROD0121,Iron 2,Home & Kitchen,Appliances,23851.12,16733.73
PROD0122,Iron 3,Home & Kitchen,Appliances,18444.76,15909.2
PROD0123,Iron 4,Home & Kitchen,Appliances,11810.5,8454.12
PROD0124,Iron 5,Home & Kitchen,Appliances,2168.89,1550.38
PROD0125,Iron 6,Home & Kitchen,Appliances,10132.57,9008.9
PROD0126,Iron 7,Home & Kitchen,Appliances,18869.5,11117.7
PROD0127,Vacuum Cleaner 1,Home & Kitchen,Appliances,32361.72,16962.99
PROD0128,Vacuum Cleaner 2,Home & Kitchen,Appliances,9979.28,7406.59
PROD0129,Vacuum Cleaner 3,Home & Kitchen,Appliances,28471.72,17163.87
PROD0130,Vacuum Cleaner 4,Home & Kitchen,Appliances,7368.47,3993.98
PROD0131,Vacuum Cleaner 5,Home & Kitchen,Appliances,4675.36,2642.72
PROD0132,Vacuum Cleaner 6,Home & Kitchen,Appliances,1897.08,1110.55
PROD0133,Vacuum Cleaner 7,Home & Kitchen,Appliances,12768.4,7585.0
